Provinsi,Kabupaten_Kota,Tahun,Garis Kemiskinan (Rupiah/Kapita/Bulan),Indeks Pembangunan Gender,Indeks Pembangunan Manusia,Kepadatan Penduduk (Jiwa/km2),PDRB ADHK (Milyar Rupiah),Pengeluaran Per Kapita yang Disesuaikan (Rupiah/Kapita/Tahun),Persentase Penduduk Miskin (%),Persentase Rumah Tangga yang memiliki Akses Sanitasi Layak (%),Rata-Rata Lama Sekolah (Tahun),Umur Harapan Hidup (Tahun)
Bali,Klungkung,2022,359415.0,91.37,73.77,679.0,5770.48,11500.0,,96.04,8.46,71.83
Bali,Klungkung,2023,384983.0,91.79,74.18,665.0,6041.65,11760.0,5.61,97.7,8.48,72.28
Bali,Klungkung,2024,411010.0,92.18,75.15,667.0,6348.54,12358.0,,99.23,8.74,72.5
Bali,Kota Denpasar,2020,618064.0,96.77,83.95,5676.0,32740.22,19723.0,2.14,98.74,11.47,74.82
Bali,Kota Denpasar,2021,662499.0,96.88,84.04,5686.0,32439.61,19598.0,2.96,99.97,11.48,74.93
Bali,Kota Denpasar,2022,712815.0,96.92,84.39,5688.0,34066.71,19850.0,2.97,100.0,,75.3
Bali,Kota Denpasar,2023,778203.0,96.68,84.68,5946.0,36004.3,20128.0,2.68,99.92,11.52,75.69
Bali,Kota Denpasar,2024,820512.0,96.77,85.11,6003.0,38001.22,20763.0,2.59,99.01,11.53,76.01
Bali,Tabanan,2020,450571.0,95.36,76.67,455.0,14808.65,14494.0,4.27,94.7,8.88,73.65
Bali,Tabanan,2021,488750.0,95.42,76.95,459.0,14515.58,14326.0,,98.34,9.14,73.75
Bali,Tabanan,2022,522520.0,95.45,77.22,463.0,14940.44,14475.0,5.18,93.34,9.15,74.1
Bali,Tabanan,2023,562801.0,95.72,77.87,549.0,15472.12,14832.0,,95.56,9.35,74.48
Bali,Tabanan,2024,601963.0,95.95,78.83,551.0,16236.0,15297.0,,96.25,9.57,74.8
Bangka Belitung,Bangka,2020,577093.0,88.48,73.06,111.0,,12416.0,4.51,95.18,8.24,71.06
Bangka Belitung,Bangka,2021,595429.0,88.36,73.13,112.0,10733.86,12424.0,4.81,95.73,8.25,71.14
Bangka Belitung,Bangka,2022,639535.0,88.84,73.62,111.0,11255.79,12863.0,4.26,94.18,8.27,71.37
